HOUR,MINUTE,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DC_POWER,AC_POWER
0.0,0.0,25.18431613,22.8575074,0.0,0.0,0.0
0.0,15.0,25.08458867,22.76166787,0.0,0.0,0.0
0.0,30.0,24.9357526,22.59230553,0.0,0.0,0.0
0.0,45.0,24.8461304,22.36085213,0.0,0.0,0.0
1.0,0.0,24.62152536,22.16542264,0.0,0.0,0.0
1.0,15.0,24.5360922,21.96857087,0.0,0.0,0.0
1.0,30.0,24.63867387,22.35292567,0.0,0.0,0.0
1.0,45.0,24.87302233,23.1609192,0.0,0.0,0.0
2.0,0.0,24.93693047,23.026113,0.0,0.0,0.0
2.0,15.0,25.0122476,23.34322927,0.0,0.0,0.0
2.0,30.0,25.00514933,23.63945927,0.0,0.0,0.0
2.0,45.0,24.99301953,24.0394858,0.0,0.0,0.0
3.0,0.0,25.01630943,24.38413557,0.0,0.0,0.0
3.0,15.0,24.98521527,24.35150773,0.0,0.0,0.0
3.0,30.0,24.93773193,24.06029653,0.0,0.0,0.0
3.0,45.0,24.87909953,23.70979413,0.0,0.0,0.0
4.0,0.0,24.6789022,22.58994153,0.0,0.0,0.0
4.0,15.0,24.3519308,21.78364253,0.0,0.0,0.0
4.0,30.0,24.0626222,21.85252493,0.0,0.0,0.0
4.0,45.0,24.0132242,22.306315,0.0,0.0,0.0
5.0,0.0,24.177105800000003,22.55190847,0.0,0.0,0.0
5.0,15.0,24.304888,22.97949207,0.0,0.0,0.0
5.0,30.0,24.32872727,23.45238047,0.0,0.0,0.0
5.0,45.0,24.28921113,23.09669193,0.0008627210000000001,0.0,0.0
6.0,0.0,24.08844607,22.2067566,0.005886957,44.864229025238096,4.329960317523811
6.0,15.0,24.01163527,22.35345867,0.022281607,292.48100906190473,28.25422335619048
6.0,30.0,23.97673127,22.893282,0.049409724,694.1433982636363,67.28157467545455
6.0,45.0,24.21899,24.44244393,0.095394454,1301.2086039545454,126.83855519545456
7.0,0.0,24.5373984,27.18565287,0.141940443,1879.359740318182,184.21191558636363
7.0,15.0,24.8159595,28.88847786,0.154712676,2025.6458331818185,198.57830086818183
7.0,30.0,24.98878987,29.605643800000006,0.14879915300000002,1982.695075727273,194.3606872272728
7.0,45.0,25.21618033,29.54711093,0.144793419,2017.9951298636367,197.8224837590909
8.0,0.0,25.41951307,31.41254473,0.201638621,2947.036526000001,289.34586038636365
8.0,15.0,25.95908213,35.52871079999999,0.34570765299999995,4633.507142818182,454.63930195000006
8.0,30.0,26.43078207,40.3180586,0.405348573,5096.7984305909085,499.8001352772727
8.0,45.0,26.8318298,39.08195373,0.312426795,4204.793831136364,412.7303571409091
9.0,0.0,27.620969800000005,45.0092326,0.623152649,7527.222402636364,736.8795454545455
9.0,15.0,27.98836207,46.6177065,0.344884036,4492.091720772727,440.5832792272727
9.0,30.0,27.51672787,39.136326,0.2492484,3478.284090863636,341.4272727318182
9.0,45.0,27.45010767,40.93057693,0.5412059770000001,7335.001623409091,717.8687499954546
10.0,0.0,28.63219187,52.5477356,0.670675372,8319.3733765,813.4908279181817
10.0,15.0,28.76891273,47.633738,0.572283477,7214.388798681817,705.9977272727272
10.0,30.0,29.3514426,49.24972327,0.455148383,5868.347077954546,574.9359902681819
10.0,45.0,28.85470787,44.0483256,0.361961654,5141.961038954545,504.1649512954545
11.0,0.0,29.41081933,47.6854534,0.636560881,8807.637986681817,860.7526947500003
11.0,15.0,30.21606229,50.00698857,0.585787214,7286.419372272729,712.8960768363637
11.0,30.0,30.2870728,49.8413636,0.557069383,7064.052759727273,691.2401785727272
11.0,45.0,30.81104933,47.83638320000001,0.467986869,7621.281655772726,745.5267857136365
